Member ID,Name,Membership Date,Books Borrowed,Quantity Borrowed
24181,Tillie Keller,13/06/2019,Don Quixote,9
38844,Fay Schroeder,20/12/2019,Dream of the Red Chamber,24
43298,Sylvia Vargas,3/1/2020,To Kill a Mockingbird,1
48272,Marion Suarez,7/2/2020,And Then There Were None,7
58138,Adriana Kramer,15/03/2021,She: A History of Adventure,25
76237,Jayson Brown,19/07/2021,The Catcher in the Rye,8
77427,Carlo Payne,25/02/2022,The Lord of the Rings,10
81967,Abu Roy,25/05/2022,Harry Potter and the Philosopher's Stone,2
82980,Caspar Lang,4/7/2023,The Alchemist,14
91773,Valerie Saunders,28/12/2023,A Tale of Two Cities,5
